Paragraph 0
在位七十一年,壽一百二十歳.	ở ngôi bảy mươi mốt năm , thọ một trăm hai mươi mốt tuổi .
宋遣王世則,李居簡賫󰀋書封帝爲交趾郡王.	cháu vua nước chiêm thành là chế cai vào chầu .
占城國王孫制荄入朝.	giao chỉ quận vương .
乙未,二年[宋至道元年].	ất mùi , / ứng thiên / năm thứ hai / chín trăm chín mươi lăm / , ( tống chí đạo năm thứ nhất ) .
遣杜亨如宋報聘.	sai đỗ hanh sang nhà tống thăm đáp lễ .
癸巳,五年[宋淳化四年].	quý tỵ , / hưng thống / năm thứ năm / chín trăm chín mươi lăm / ( tống thuần hoá năm thứ bốn ) .
報聘.	sang thăm đáp lễ .
甲午,應天元年;[宋淳化五年].	giáp ngọ , / ứng thiên / năm thứ nhất / chín trăm chín mươi bốn / , ( tống thuần hoá năm thứ năm ) .
今新平,烏.	nay là tân bình , ô lý nay là thuận hoá ) .
遣牙校費崇德如宋.	
且帝有本支蕃矣,又所謂義兒者,不過育遂其寵愛之私於其人爾,盍慮夫將啓篡奪之萌乎?	
	vả lại , nhánh họ của vua đã đông người rồi , cái gọi là con nuôi , chẳng qua là muốn thoả lòng dấu yêu riêng với người ấy mà thôi , sao không nghĩ như thế là gây mầm cướp ngôi hay sao ?

Paragraph 85
是年春,宋廣西路,轉運使張觀;欽州如洪鎮,兵馬監押衛昭美皆上言:交趾戰船百餘艘,寇如洪鎮,掠居民刼廪食而去.	mùa xuân năm ấy , chuyển vận sứ lộ quảng tây nước tống là trương quan , binh mã giám áp trấn như hồng thuộc khâm châu là vệ chiêu mỹ đều tâu rằng chiến thuyền của giao chỉ hơn trăm chiếc , xâm phạm trấn châu hồng , cướp bóc cư dân và lương thực rồi đi .
春,二月,帝親征麻皇大,發,丹,波四洞拨之.	mùa xuân , tháng hai , vua thân đi đánh lấy được bốn động đại , phát , đan , ba ở ma hoàng .
既至,帝郊迎,慢不爲禮以示高異,謂若拙曰:"刧如洪鎮,乃外境海賊也,皇帝知此非交州兵否?	khi nhược chuyết đến , vua ra đón ngoài giao , có ý ngạo mạn không làm lễ để tỏ ra cao quý khác thường , bảo nhược chuyết rằng : " việc cướp trấn như hồng là do bọn giặc biển ở ngoài , hoàng đế có biết đó không phải là quân của giao châu không ?
宋帝意在撫寕,不欲用兵,置之不問.	vua tống muốn vỗ yên , không muốn dụng binh , bỏ không hỏi đến .
宋議張觀等罪,觀病死,斬衛昭美於如洪鎮,以陳堯叟充廣西轉運使,乃遣海康尉李建中賫昭來賜.	nhà tống xử tội bọn trương quan , quan đã ốm chết , chém vệ chiêu mỹ ở trấn như hồng , lấy trần nghiêu tẩu làm quảng tây chuyển vận sứ , rồi sai khải khang uý là lý kiến trung mang chiếu sách sang ban .
春,三月,宋帝崩.	mùa xuân , tháng ba , vua tống băng .
若使交州叛,命當首擊蕃禺,次擊閩越,𡸈止如洪鎮而已?	nếu giao châu có làm phản thì đầu tiên đánh vào phiên ngung , thứ đến đánh mân việt , há chỉ dừng ở trấn như hồng mà thôi ?
堯叟至如昔,詰得藏匿之由,盡以所匿南女老少百十三口召成雅交付還之.	nghiêu tẩu đến như tích , tra ra được nguyên do việc chứa chấp ấy , đem hết trai gái , già trẻ đã chứa dấu tất cả một trăm mười ba người gọi thành nhã sang giao cho nhận về .
先是,我潮陽民文勇等爲亂,殺人出亡宋欽州,如昔鎮[如昔與如洪相鄰]鎮將皇令德匿之.	trước đây , bọn văn dũng là dân ở trấn triều dương nước ta làm loạn , giết người rồi trốn sang trấn như tích thuộc khâm châu của tống ( trấn như tích liền với trấn như hồng ) , được trấn tướng là trần lệnh đức chứa chấp .
觀又詐言,帝爲丁氏所逐,擁餘眾居海島,間寇鈔自級,今已没;觀等上表賀.	quan lại nói dối là vua bị họ đinh đánh đuổi , đem dư chúng ra ở miền hải đảo , cướp bóc để tự cấp , nay đã chết ; bọn quan dân biểu mừng .
是夏,我蘇茂州又以鄕兵五千侵宋邕州,爲都巡檢楊文傑所擊而還.	mùa hạ năm ấy , châu tô mậu nước ta lại đem năm nghìn hương bình xâm lược ung châu nước tống , bị đô tuần kiểm dương văn kiệt đánh phải trở về .
丁酉,四年[宋至道三年].	đinh dậu , / ứng thiên / năm thứ bốn , ( tống chí đạo năm thứ ba ) .
宋帝命太常丞陳士龍爲󰇼訪使覘虚實,知帝之無恙也.	vua tống sai thái thường thừa trần sĩ long làm thái phỏng sứ để dò xem hư thực , biết là vua không có chuyện gì .
帝命潮陽鎮將皇成雅追捕.	vua sai trấn tướng triều dương và hoàng thành nhã đuổi bắt .
復遣李若拙賫詔書及玉帶來賜.	vua tống lại sai lý nhược chuyết mang chiếu thư và đai ngọc sang ban cho vua .
丙申,三年[宋至道二年].	bính thân , / ứng thiên / năm thứ ba , ( tống chí đạo năm thứ hai ) .
帝義宋,遣使謝恩,且言以執海賊二十七人,宋轉運使,約勒溪峝不復騷動矣.	người , giao trả cho chuyển vận sứ , và đã răn cấm các khe động không được quấy rối nữa .
令德不還.	lệnh đức không chịu trả về .
"言訖,頓首謝.	nói xong mới cuối đầu tạ lỗi .
宋.	

Paragraph 86
春,三月,地震三日.	mùa xuân , tháng ba , động đất ba ngày .
是月不雨.	tháng ấy không mưa .
六月不雨.	tháng sáu , cũng không mưa .
冬,十月,丙戌,朔,日食.	mùa đông , tháng mười , ngày bính tuất , mồng một , nhật thực .
秋,七月,帝親征杜洞江賊,執其徒歸京師.	mùa thu , tháng bảy , vua thân đi đánh giặc ở đỗ động giang , bắt được đồ đảng đem về kinh sư .
夏,四月,宋封帝爲南平王.	mùa hạ , tháng bốn , nhà tống phong vua làm nam bình vương .
夏,五月,戊午朔,日食.	mùa hạ , tháng năm , ngày mậu ngọ mồng một , nhật thực .
至是,宋真宗即位,聞之,只令疆吏召受綸命而不復專使者.	đến đây tống chân tông lên ngôi , nghe biết chuyện ấy , chỉ sai quan giữ biên giới đến nhận mệnh , không sai người sang sứ nữa .
詔討峯州鄭航,陳麗,丹長温賊,航等奔傘圓.	xuống chiếu đi đánh giặc ở châu phong là bọn trịnh hàng , trường lệ , đan trường ôn , bọn hàng chạy vào vùng núi tản viên .
民人病咳,牛馬多子.	dân bị bệnh ho , trâu , ngựa chết nhiều .
更子,七年[宋咸平三年].	canh tý , / ứng thiên / năm thứ bảy / một nghìn / , ( tống hàm bình năm thứ ba ) .
帝親征何洞等四十九洞,及破日則,定邊州等處.	, tất cả bốn mươi chín động và phá được / động / nhật tắc , châu định biên .
帝遣使如宋報聘.	vua tống ban chiếu thư khen ngợi .
己亥,六年[宋咸平二年].	kỷ hợi , / ứng thiên / năm thứ sáu / chín trăm chín mươi chín / , ( tống hàm bình năm thứ hai ) .
戊戌,五年[宋真宗恒,咸平元年].	mậu tuất , / ứng thiên / năm thứ năm , ( tống chân tông hằng , hàm bình năm thứ nhất ) .
先是,宋使至常以貢鹹爲辭,因縁賦歛.	trước kia sứ tống sang thường mượn cớ đòi cống nước mắm , nhân thể bắt đóng góp .
宋帝賜詔書褒奬.	vua sai sứ sang nước tống đáp lễ .
城以兵窺我邊境.	chiêm thành đem quân dòm ngó nước ta .
自是,諸州洞皆率服.	từ đó các châu động điều quy phục .
占.	

Paragraph 87
春,三月,定律令,選軍伍,分將校爲两𤤻,改十道爲路府州.	mùa xuân , tháng ba , định luật lệnh , chọn quân lính , chia tướng hiệu làm hai ban : đổi mười đạo làm lộ , phủ , châu .
秋,八月,帝有疾,九月瘳.	mùa thu , tháng tám , vua ốm , tháng chín thì khỏi .
帝親征筥隆賊,眾見帝張弓注矢將發,矢隋,再舉絃又斷,自惧而退.	quân giặc thấy vua , giương cung nhắm bắn thì tên rơi , lại giương cung thì dây đứt , tự lấy làm sợ mà rút lui .
大勝明皇后亡.	đại thắng minh hoàng hậu mất .
賊陳于两岸拒戰,官軍陷于江,故主衛王璿爲流矢所中殂于陣.	giặc bày trận hai bên bờ chống lại , quan quân bị hãm ở sông , vua cũ là vệ vương toàn trúng tên chết tại trận .
日効城民人及頭目皇慶集等挈家四百五十餘口率亡宋欽州塢.	dân ở thành nhật hiệu và đầu mục là bọn hoàng khánh tập đem gia thuộc hơn bốn trăm năm mươi người trốn sang khâm châu nước tống .
詔造兠鍪數千頂,頒賜六軍.	xuống chiếu làm mấy nghìn mũ đâu mâu , ban cho sáu quân .
慶集等惧不還,遂於海岸居之.	bọn khánh tập sợ tội không về , bèn ra ở bờ biển .
命統將徐穆巡海西境,吳子安巡北境覘邊情.	vua đi hoan châu , vét kinh đa cái ( nay là hoa cái ) ( cho thông ) thẳng đến tư củng trường ở ám châu .
擎天王薨.	kình thiên vương ( thau ) mất .
甲辰,十一年,[宋景德元年].	giáp thìn , / ứng thiên / năm thứ mười một / một nghìn không trăm lẽ bốn / , ( tống cảnh đức năm thứ nhất ) .
多盖人叛,斬首以徇.	người đa cái làm phản , chém đầu để rao .
帝呼天三聲督戰,賊自敗.	vua kêu trời ba tiếng rồi thúc quân đánh , giặc tan vỡ .
壬寅,九年[宋咸平五年].	nhâm dần , / ứng thiên / năm thứ chín / một nghìn không trăm lẽ hai / , ( tống hàm bình năm thứ năm ) .
辛丑,八年[宋咸平四年].	tân sửu , / ứng thiên / năm thứ tám / một nghìn không trăm lẽ một / , ( tống hàm bình năm thứ bốn ) .
癸卯,十年[宋咸平六年].	quý mão , / ứng thiên / năm thứ mười / một nghìn không trăm lẽ ba / , ( tống hàm bình năm thứ sáu ) .
帝幸驩州浚多盖港[今華盖是]直抵.	sai thống tướng từ mục đi tuần ở miền hải tây , ngô tử an đi tuần cõi bắc để dò xét tình hình biên giới .
帝遂御舟入窮江逐之.	tống sai sứ đến dỗ bảo phải về .
宋遣使慰撫令還.	vua bèn đi thuyền vào cùng giang để đuổi .
暗州,思拱場.	

Paragraph 88
春,三月,帝崩于長春殿,號大行皇帝,因爲廟號而不改,塟長安州山陵[按舊本地志記帝崩在丙午年,乃黎卧朝請命之時而言,非實也.	mùa xuân , tháng ba , vua băng ở điện trường xuân , gọi là đại hành hoàng đế , sau nhân đó dùng làm miếu hiệu mà không đổi , chôn ở sơn lăng châu trường yên ( sách địa chí bản cũ chép vua băng vào năm bính ngọ , đó là lấy khi lê ngoạ triều xin mệnh ( nhà tống ) mà mói , không phải là thực .
春正月,立南封王龍鉞爲皇太子,加封龍鋌爲開明大王,龍錫爲東城大王.	mùa xuân , tháng giêng , lập nam phong vương long việt làm hoàng thái tử , gia phong long đĩnh làm khai minh đại vương , long tích làm đông thành đại vương .
宋帝許之;召入使殿勞問賜賞甚厚,授明提金紫榮祿大夫檢校太尉驩州刺史.	vua tống bằng lòng cho ; gọi vào điện riêng thăm hỏi và ban thưởng rất hậu , cho minh đề chức kim tử vinh lộc đại phu kiểm hiệu thái uý hoan châu thứ sử .
帝於大皇江觀曳曾,有大蛇蟠其中,漁人以聞.	vua xem kéo lưới ở sông đại hoàng , có con rắn to nằn cuộn giữa lưới , người đánh cá tâu lên .
及寢陵既安,則會羣臣議其德行之賢否,以爲諡曰某皇帝,某皇后,不復以大行稱之.	đến khi lăng tẩm đã yên thì hợp bầy tôi bàn xem đức hạnh hay hay dỡ để đặt thuỵ là mỗ hoàng đế , mỗ hoàng hậu , không gọi là đại hành nữa .
蛇󰑎然逆流而去.	con rắn vụt chốc lội ngược dòng mà đi .
至是立龍鉞爲皇太子,而加龍鋌龍錫大王.	đến đây lập long việt làm hoàng thái tử mà gia phong long đĩnh và long tích làm đại vương .
黎文休曰:天子與皇后初崩殂,未歸山陵,則號.	lê văn hưu nói : thiên tử và hoàng hậu khi mới băng , chưa chôn vào sơn lăng , thì gọi là đại hành hoàng đế .
乙巳,十二年[宋景德二年].	ất tỵ , / ứng thiên / năm thứ mười hai , ( tống cảnh đức năm thứ hai ) .
遣行軍王明提,稱攝驩州刺史,.	sai hành quân vương minh đề , xưng là nhiếp hoan châu thứ sử , sang thăm nước tống .
遣人乘小舟挽之,不還,後復回于本處.	sai người bơi thuyền nhỏ cản đuổi , rắn không trở lại , sau lại về chỗ cũ .
明提至汴,懇求恩使宣撫遐裔.	minh đề đến biện kinh khẩn cầu ân mệnh cho tuyên phủ đất xa .
盖以不肖之卧朝爲子,又無儒臣弼亮之以議其諡法故也.	vì ngoạ triều là con bất tiếu , lại không có bề tôi nho học để giúp đỡ bàn về phép đặt thuỵ cho nên thế .
黎大行乃以大行爲諡號,相傳至今何哉?	lê đại hành thì lấy đại hành làm thuỵ hiệu mà truyền đến ngày nay là làm sao ?
先是,龍鋌求爲太子,帝欲許之.	trước đó long đĩnh xin làm thái tử , vua có ý muốn cho .
廷臣議以爲不立長而立次非禮也.	đình thần nghị bàn cho rằng không lập con trưởng mà lập con thứ là không phải lễ .
帝停舟江中欲觀之.	vua dừng thuyền ở giữa sông muốn xem .
今從黎文休爲是].	nay theo lê văn hưu là đúng ) .
聘于宋.	
大行皇帝,大行皇后.	

Paragraph 89
太祖皇帝.	thái tổ hoàng đế .
初,古法州,應天心寺,感選院,犬生一子白色有黑毛文成"天子"二字.	trước ở viện cảm tuyển chùa ứng thiên tâm , châu cổ pháp có con chó đẻ con sắc trắng có đốm lông đen thành hình hai chữ " thiên tử " .
史臣吳士連曰:帝之戰勝攻取,斬占城主以雪藩夷執使之耻,摧趙宋軍以挫軍臣必勝之謀,可謂盖世英雄矣.	sử thần ngô sĩ liên nói : vua đánh đâu được đấy , chém vua chiêm thành để rửa cái nhục phiên di bắt giữ sứ thần , đánh lui quân triệu tống để bẻ cái mưu tất thắng của vua tôi bọn họ , có thể gọi là bật anh hùng nhất đời vậy .
