Paragraph 0
第八十一回急兄仇张飞遇害雪弟恨先主兴兵	Đệ bát thập nhất hồi cấp huynh cừu trương phi ngộ hại tuyết đệ hận tiên chủ hưng binh
”正议间，忽使命来召。	" chánh nghị gian, hốt sử mệnh lai triệu.
二人遂将大军前队作后队，后队作前队，徐徐而退。	Nhị nhân toại tương đại quân tiền đội tác hậu đội, hậu đội tác tiền đội, từ từ nhi thối.
却说孔明计算一月秋雨将尽，天尚未晴，自提一军屯于城固，又传令教大军会于赤坡驻扎。孔明升帐唤众将言曰：“吾料魏兵必走，魏主必下诏来取曹真、司马懿兵回。	Khước thuyết khổng minh kế toán nhất nguyệt thu vũ tương tẫn, thiên thượng vị tình, tự đề nhất quân truân vu thành cố, hựu truyền lệnh giáo đại quân hội vu xích pha trú hoán chúng tướng ngôn viết: "Ngô liêu ngụy binh tất tẩu, ngụy chủ tất hạ chiếu lai thủ tào chân, Tư Mã ý binh hồi.
吾若追之，必有准备；不如任他且去，再作良图。	Ngô nhược truy chi, tất hữu chuẩn bị; bất như nhâm tha thả khứ, tái tác lương đồ.
”忽王平令人报来，说魏兵已回。	" hốt vương bình lệnh nhân báo lai, thuyết ngụy binh dĩ hồi.
孔明分付来人，传与王平：“不可追袭。	Khổng minh phân phó lai nhân, truyền dữ vương bình: "Bất khả truy tập.
吾自有破魏兵之策。	Ngô tự hữu phá ngụy binh chi sách.
”正是：魏兵纵使能埋伏，汉相原来不肯追。	" chánh thị: ngụy binh túng sử năng mai phục, hán tương nguyên lai bất khẳng truy.
未知孔明怎生破魏，且看下文分解。	Vị tri khổng minh chẩm sinh phá ngụy, thả khán hạ văn phân giải.
第一百回汉兵劫寨破曹真武侯斗阵辱仲达	Khi rút về giặc thế Đệ nhất bách hồi hán binh kiếp trại phá tào chân võ hầu đấu trận nhục trọng đạt

Paragraph 201
却说众将闻孔明不追魏兵，俱入帐告曰：“魏兵苦雨，不能屯扎，因此回去，正好乘势追之。	Khước thuyết chúng tướng văn khổng minh bất truy ngụy binh, câu nhập trướng cáo viết: "Ngụy binh khổ vũ, bất năng truân trát, nhân thử hồi khứ, chánh hảo thừa thế truy chi.
丞相如何不追？	Thừa tương như hà bất truy?
”孔明曰：“司马懿善能用兵，今军退必有埋伏。	" Khổng minh viết: "Tư Mã ý thiện năng dụng binh, kim quân thối tất hữu mai phục.
吾若追之，正中其计。	Ngô nhược truy chi, chánh trung kì kế.
不如纵他远去，吾却分兵径出斜谷而取祁山，使魏人不提防也。	Bất như túng tha viễn khứ, ngô khước phân binh kính xuất tà cốc nhi thủ kì sơn, sử ngụy nhân bất đề phòng dã.
”众将曰：“取长安之地，别有路途；丞相只取祁山，何也？	" Chúng tướng viết: "Thủ trường an chi địa, biệt hữu lộ đồ; thừa tương chỉ thủ kì sơn, hà dã?
”孔明曰：“祁山乃长安之首也：陇西诸郡，倘有兵来，必经由此地；更兼前临渭滨，后靠斜谷，左出右入。	" Khổng minh viết: "Kì sơn nãi trường an chi thủ dã: lũng tây chư quận, thảng hữu binh lai, tất kinh do thử địa; canh kiêm tiền lâm vị tân, hậu kháo tà cốc, tả xuất hữu nhập.
可以伏兵，乃用武之地。	Khả dĩ phục binh, nãi dụng võ chi địa.
吾故欲先取此，得地利也。	Ngô cố dục tiên thủ thử, đắc địa lợi dã.
”众将皆拜服。	"Chúng tướng giai bái phục.
孔明令魏延、张嶷、杜琼、陈式出箕谷；马岱、王平、张翼、马忠出斜谷：俱会于祁山。	Khổng minh lệnh ngụy duyên, trương nghi, đỗ quỳnh, trần thức xuất ki cốc; mã đại, vương xuất tà cốc: câu hội vu kì sơn.
调拨已定，孔明自提大军，令关兴、廖化为先锋，随后进发。	Điều bát dĩ định, khổng minh tự đề đại quân, lệnh quan hưng, liêu hóa vi tiên phong, tùy hậu tiến phát.
却说曹真、司马懿二人，在后监督人马，令一军入陈仓古道探视，回报说蜀兵不来。	Khước thuyết tào chân, Tư Mã ý nhị nhân, tại hậu giam đốc nhân mã, lệnh nhất quân nhập trần thương cổ đạo tham thị, hồi báo thuyết thục binh bất lai.
又行旬日，后面埋伏众将皆回，说蜀兵全无音耗。	Hựu hành tuần nhật, hậu diện mai phục chúng tướng giai hồi, thuyết thục binh toàn vô âm háo.
真曰：“连绵秋雨，栈道断绝，蜀人岂知吾等退军耶？	Chân viết: "Liên miên thu vũ, sạn đạo đoạn tuyệt, thục nhân khởi tri ngô đẳng thối quân da?
”懿曰：“蜀兵随后出矣。	" Ý viết: "Thục binh tùy hậu xuất hĩ.
”真曰：“何以知之？	" Chân viết: "Hà dĩ tri chi?
”懿曰：“连日晴明，蜀兵不赶，料吾有伏兵也，故纵我兵远去；待我兵过尽，他却夺祁山矣。	" Ý viết: "Liên nhật tình minh, thục binh bất cản, liêu ngô hữu phục binh dã, cố túng ngã binh viễn khứ; đãi ngã binh quá tẫn, tha khước đoạt kì sơn hĩ.
”曹真不信。	" Tào chân bất tín.
懿曰：“子丹如何不信？	Ý viết: "Tử đan như hà bất tín?
吾料孔明必从两谷而来。	Ngô liêu khổng minh tất tòng lưỡng cốc nhi lai.
吾与子丹各守一谷口，十日为期。	Ngô dữ tử đan các thủ nhất cốc khẩu, thập nhật vi kì.
若无蜀兵来，我面涂红粉，身穿女衣，来营中伏罪。	Nhược vô thục binh lai, ngã diện đồ hồng phấn, thân xuyên nữ y, lai doanh trung phục tội.
”真曰：“若有蜀兵来，我愿将天子所赐玉带一条、御马一匹与你。	" Chân viết: "Nhược hữu thục binh lai, ngã nguyện tương thiên tử sở tứ ngọc đái nhất điều, ngự mã nhất thất dữ nhĩ.
”即分兵两路：真引兵屯于祁山之西斜谷口；懿引军屯于祁山之东箕谷口。	" Tức phân binh lưỡng lộ: chân dẫn binh truân vu kì sơn chi tây tà cốc binh phục vu sơn cốc trung; kì dư quân mã, các vu yếu lộ an doanh.
懿更换衣装，杂在全军之内，遍观各营。	Ý canh hoán y trang, tạp tại toàn quân chi nội, biến quan các doanh.
忽到一营，有一偏将仰天而怨曰：“大雨淋了许多时，不肯回去；今又在这里顿住，强要赌赛，却不苦了官军！	Hốt đáo nhất doanh, hữu nhất thiên tương ngưỡng thiên nhi oán viết: "Đại vũ lâm liễu hứa đa thời, bất khẳng hồi khứ; kim hựu tại giá lí đốn trụ, cường yếu đổ tái, khước bất khổ liễu quan quân!
”懿闻言，归寨升帐，聚众将皆到帐下，挨出那将来。	" Ý văn ngôn, quy trại thăng trướng, tụ chúng tướng giai đáo trướng hạ, ai xuất na tương lai.
懿叱之曰：“朝廷养军千日，用在一时。	Ý sất chi viết: "Triều đình dưỡng quân thiên nhật, dụng tại nhất thời.
汝安敢出怨言，以慢军心！	Nhữ an cảm xuất oán ngôn, dĩ mạn quân tâm!
”其人不招。	" Kì nhân bất chiêu.
懿叫出同伴之人对证，那将不能抵赖。	Ý khiếu xuất đồng bạn chi nhân đối chứng, na tương bất năng để lại.
懿曰：“吾非赌赛；欲胜蜀兵，令汝各人有功回朝，汝乃妄出怨言，自取罪戾！	Ý viết: "Ngô phi đổ tái; dục thắng thục binh, lệnh nhữ các nhân hữu công hồi triều, nhữ nãi vọng xuất oán ngôn, tự thủ tội lệ!
”喝令武士推出斩之。	" Hát lệnh võ sĩ thôi xuất trảm chi.
须臾，献首帐下。	Tu du, hiến thủ trướng hạ.
众将悚然。	Chúng tướng tủng nhiên.
懿曰：“汝等诸将皆要尽心以防蜀兵。	Ý viết: "Nhữ đẳng chư tướng giai yếu tẫn tâm dĩ phòng thục binh.
听吾中军炮响，四面皆进。	Thính ngô trung quân pháo hưởng, tứ diện giai tiến.
”众将受令而退。	" Chúng tướng thụ lệnh nhi thối. hang Tà Cốc, mé tây núi Kỳ Sơn, Ý dẫn một nửa đóng ở cửa hang Cơ Cốc, mé đông núi Kỳ Sơn.

Paragraph 202
却说魏延、张嶷、陈式、杜琼四将，引二万兵，取箕谷而进。	Khước thuyết ngụy duyên, trương nghi, trần thức, đỗ quỳnh tứ tương, dẫn nhị vạn binh, thủ ki cốc nhi tiến.
正行之间，忽报参谋邓芝到来。	Chánh hành chi gian, hốt báo tham mưu đặng chi đáo lai.
四将问其故，芝曰：“丞相有令：如出箕谷，提防魏兵埋伏，不可轻进。	Tứ tương vấn kì cố, chi viết: "Thừa tương hữu lệnh: như xuất ki cốc, đề phòng ngụy binh mai phục, bất khả khinh tiến.
”陈式曰：“丞相用兵何多疑耶？	"Trần thức viết: "Thừa tương dụng binh hà đa nghi da?
吾料魏兵连遭大雨，衣甲皆毁，必然急归；安得又有埋伏？	Ngô liêu ngụy binh liên tao đại vũ, y giáp giai hủy, tất nhiên cấp quy; an đắc hựu hữu mai phục?
今吾兵倍道而进，可获大胜，如何又教休进？	Kim ngô binh bội đạo nhi tiến, khả hoạch đại thắng, như hà hựu giáo hưu tiến?
”芝曰：“丞相计无不中，谋无不成，汝安敢违令？	" Chi viết: "Thừa tương kế vô bất trung, mưu vô bất thành, nhữ an cảm vi lệnh?
”式笑曰：“丞相若果多谋，不致街亭之失！	" Thức tiếu viết: "Thừa tương nhược quả đa mưu, bất trí nhai đình chi thất!
”魏延想起孔明向日不听其计，亦笑曰：“丞相若听吾言，径出子午谷，此时休说长安，连洛阳皆得矣！	" Ngụy duyên tưởng khởi khổng minh hướng nhật bất thính kì kế, diệc tiếu viết: "Thừa tương nhược thính ngô ngôn, kính xuất tử ngọ cốc, thử thời hưu thuyết trường an, liên lạc dương giai đắc hĩ!
今执定要出祁山。	Kim chấp định yếu xuất kì sơn.
有何益耶？	Hữu hà ích da?
既令进兵，今又教休进。	Kí lệnh tiến binh, kim hựu giáo hưu tiến.
何其号令不明！	Hà kì hiệu lệnh bất minh!
”式曰：“吾自有五千兵，径出箕谷，先到祁山下寨，看丞相羞也不羞！	" Thức viết: "Ngô tự hữu ngũ thiên binh, kính xuất ki cốc, tiên đáo kì sơn hạ trại, khán thừa tương tu dã bất tu!
”芝再三.阻当，式只不听，径自引五千兵出箕谷去了。邓芝只得飞报孔明。	" Chi tái tam trở đương, thức chỉ chi chỉ đắc phi báo khổng minh. năm nghìn quân ra tắt hang Cơ Cốc, Đặng Chi không sao ngăn được, phải trở về báo với

Paragraph 203
却说陈式引兵行不数里，忽听的一声炮响，四面伏兵皆出。	Khước thuyết trần thức dẫn binh hành bất sổ lí, hốt thính đích nhất thanh pháo hưởng, tứ diện phục binh giai xuất.
式急退时，魏兵塞满谷口，围得铁桶相似。	Thức cấp thối thời, ngụy binh tắc mãn cốc khẩu, vi đắc thiết dũng tương tự.
式左冲右突，不能得脱。	Thức tả trùng hữu đột, bất năng đắc thoát.
忽闻喊声大震，一彪军杀入，乃是魏延。	Hốt văn hảm thanh đại chấn, nhất bưu quân sát nhập, nãi thị ngụy duyên.
救了陈式，回到谷中，五千兵只剩得四五百带伤人马。	Cứu liễu trần thức, hồi đáo cốc trung, ngũ thiên binh chỉ thặng đắc tứ ngũ bách đái thương nhân mã.
背后魏兵赶来，却得杜琼、张嶷引兵接应，魏兵方退。	Bối hậu ngụy binh cản lai, khước đắc đỗ quỳnh, trương nghi dẫn binh tiếp ứng, ngụy binh phương thối.
陈、魏二人方信孔明先见如神，懊悔不及。	Trần, ngụy nhị nhân phương tín khổng minh tiên kiến như thần, áo hối bất cập.

Paragraph 204
且说邓芝回见孔明，言魏延、陈式如此无礼。	Thả thuyết đặng chi hồi kiến khổng minh, ngôn ngụy duyên, trần thức như thử vô lễ.
孔明笑曰：“魏延素有反相，吾知彼常有不平之意；因怜其勇而用之。	Khổng minh tiếu viết: "Ngụy duyên tố hữu phản tương, ngô tri bỉ thường hữu bất bình chi ý; nhân liên kì dũng nhi dụng chi.
久后必生患害。	Cửu hậu tất sinh hoạn hại.
”正言间，忽流星马报到，说陈式折了四千余人，止有四五百带伤人马，屯在谷中。	" Chánh ngôn gian, hốt lưu tinh mã báo đáo, thuyết trần thức chiết liễu tứ thiên dư nhân, chỉ hữu tứ ngũ bách đái thương Đăng Chi về ra mắt Khổng nhân mã, truân tại cốc trung.
孔明令邓芝再来箕谷抚慰陈式，防其生变；一面唤马岱、王平分付曰：“斜谷若有魏兵守把，汝二人引本部军越山岭，夜行昼伏，速出祁山之左，举火为号。	Khổng minh lệnh đặng chi tái lai ki cốc phủ úy trần thức, phòng kì sinh biến; nhất diện hoán mã đại, vương bình phân phó viết: "Tà cốc nhược hữu ngụy binh thủ bả, nhữ nhị nhân dẫn bổn bộ quân việt sơn lĩnh, dạ hành trú phục, tốc xuất kì sơn chi tả, cử hỏa vi hào.
”又唤马忠、张翼分付曰：“汝等亦从山僻小路，昼伏夜行，径出祁山之右，举火为号，与马岱、王平会合，共劫曹真营寨。	" Hựu hoán mã trung, trương dực phân phó viết: "Nhữ đẳng diệc tòng sơn tích tiểu lộ, trú phục dạ hành, kính xuất kì sơn chi hữu, cử hỏa vi hào, dữ mã đại, vương bình hội hợp, cộng kiếp tào chân doanh trại.
吾自从谷中三面攻之，魏兵可破也。	Ngô tự tòng cốc trung tam diện công chi, ngụy binh khả phá dã.
”四人领命分头引兵去了。	" Tứ nhân lĩnh mệnh phân đầu dẫn binh khứ liễu.
孔明又唤关兴、廖化分付曰：如此如此。	Khổng minh hựu hoán quan hưng, liêu hóa phân phó viết: như thử như thử.
二人受了密计，引兵而去。	Nhị nhân thụ liễu mật kế, dẫn binh nhi khứ.
孔明自领精兵倍道而行。	Khổng minh tự lĩnh tinh binh bội đạo nhi hành.
正行间，又唤吴班、吴懿授与密计，亦引兵先行。	Chánh hành gian, hựu hoán ngô ban, ngô ý thụ dữ mật kế,

Paragraph 205
却说曹真心中不信蜀兵来，以此怠慢，纵令军士歇息；只等十日无事，要羞司马懿，不觉守了七日，忽有人报谷中有些小蜀兵出来。	Khước thuyết tào chân tâm trung bất tín thục binh lai, dĩ thử đãi mạn, túng lệnh quân sĩ hiết tức; chỉ đẳng thập nhật vô sự, yếu tu Tư Mã ý, bất giác thủ liễu thất nhật, hốt hữu nhân báo cốc trung hữu ta tiểu thục binh xuất lai.
真令副将秦良引五千兵哨探，不许纵令蜀兵近界。	Chân lệnh phó tướng tần lương dẫn ngũ thiên binh Tào Chân trong bụng không tin tiếu tham, bất hứa túng lệnh thục binh cận giới.
秦良领命，引兵刚到谷口，哨见蜀兵退去。	Tần lương lĩnh mệnh, dẫn binh cương đáo cốc khẩu, tiếu kiến thục binh thối khứ.
良急引兵赶来，行到五六十里，不见蜀兵，心下疑惑，教军士下马歇息。	Lương cấp dẫn binh cản lai, hành đáo ngũ lục thập lí, bất kiến thục binh, tâm hạ nghi hoặc, giáo quân sĩ hạ mã hiết tức.
忽哨马报说：“前面有蜀兵埋伏。	Hốt tiếu mã báo thuyết: "Tiền diện hữu thục binh mai phục.
