Paragraph 0
第四十一回刘玄德携民渡江赵子龙单骑救主	Đệ tứ thập nhất hồi lưu huyền đức huề dân độ giang triệu tử long đan kỵ cứu chủ
”你道那九锡？	" Nhĩ đạo na cửu tích?
一，车马（大辂、戎辂各一。	Nhất, xa mã （ đại lộ, nhung lộ các nhất.
大辂，金车也。	Đại lộ, kim xa dã.
戎辂，兵车也。	Nhung lộ, binh xa dã.
玄牡二驷，黄马八匹。	Huyền mẫu nhị tứ, hoàng mã bát thất.
）二，衣服（衮冕之服，赤舄副焉。	） nhị, y phục （ cổn miện chi phục, xích tích phó yên.
衮冕，王者之服。	Cổn miện, vương giả chi phục.
赤舄，朱履也。	Xích tích, chu lí dã.
）三，乐悬（乐悬，王者之乐也。	） tam, nhạc huyền （ nhạc huyền, vương giả chi nhạc dã.
）四，朱户（居以朱户，红门也。	） tứ, chu hộ （ cư dĩ chu hộ, hồng môn dã.
）五，纳陛（纳陛以登。	） ngũ, nạp bệ （ nạp bệ dĩ đăng.
陛，阶也。	Bệ, giai dã.
）六，虎贲（虎贲三百人，守门之军也。	） lục, hổ bí （ hổ bí tam bách nhân, thủ môn chi quân dã.
）七，鈇钺（鈇钺各一。	） thất, phu việt （ phu việt các nhất.
鈇，即斧也。	Phu, tức phủ dã.
钺，斧属。	Việt, phủ chúc.
）八，弓矢（彤弓一，彤矢百。	） bát, cung thỉ （ đồng cung nhất, đồng thỉ bách.
彤，赤色也。	Đồng, xích sắc dã.
【左玄右旅去方】弓十，【左玄右旅去方】矢千。	【 tả huyền hữu lữ khứ phương 】 cung thập, 【 tả huyền hữu lữ khứ phương 】 thỉ thiên.
【左玄右旅去方】，黑色也。	【 tả huyền hữu lữ khứ phương 】, hắc sắc dã.
）九，秬鬯圭瓒（秬鬯一卣，圭瓒副焉。	） cửu, cự sưởng khuê toản （ cự sưởng nhất dữu, khuê toản phó yên.
秬，黑黍也。	Cự, hắc thử dã.
鬯，香酒，灌地以求神于阴。	Sưởng, hương tửu, quán địa dĩ cầu thần vu âm.
卣，中樽也。	Dữu, trung tôn dã.
圭瓒，宗庙祭器，以祀先王也。	Khuê toản, tông miếu tế khí, dĩ tự tiên vương dã.
）侍中荀彧曰：“不可。	） thị trung tuân úc viết: "Bất khả.
丞相本兴义兵，匡扶汉室，当秉忠贞之志，守谦退之节。	Thừa tương bổn hưng nghĩa binh, khuông phù hán thất, đương bỉnh trung trinh chi chí, thủ khiêm thối chi tiết.
董昭曰：“岂可以一人而阻众望？	Quân tử ái khả dĩ nhất nhân nhi trở chúng vọng?
”遂上表请尊操为魏公，加九锡。	" Toại thượng biểu thỉnh tôn thao vi ngụy công, gia cửu tích.
荀彧叹曰：“吾不想今日见此事！	Tuân úc thán viết: "Ngô bất tưởng kim nhật kiến thử sự!
”操闻，深恨之，以为不助己也。	" Thao văn, thâm hận chi, dĩ vi bất trợ kỷ dã. tôn Tào Tháo lên làm Ngụy công phong thêm lễ Cửu tích.

Paragraph 283
建安十七年冬十月，曹操兴兵下江南，就命荀彧同行。	Kiến an thập thất niên đông thập nguyệt, tào thao hưng binh hạ giang nam, tựu mệnh tuân úc đồng hành.
彧已知操有杀己之心，托病止于寿春。	Úc dĩ tri thao hữu sát kỷ chi tâm, thác bệnh chỉ vu thọ xuân.
忽曹操使人送饮食一盒至。	Hốt tào thao sử nhân tống ẩm thực nhất hạp chí.
盒上有操亲笔封记。	Hạp thượng hữu thao thân bút phong kí.
开盒视之，并无一物。	Khai hạp thị chi, tịnh vô nhất vật.
彧会其意，遂服毒而亡。	Úc hội kì ý, toại phục độc nhi vong.
年五十岁。	Niên ngũ thập tuế.
后人有诗叹曰：“文若才华天下闻，可怜失足在权门。	Hậu nhân hữu thi thán viết: "Văn nhược tài hoa thiên hạ văn, khả liên thất túc tại quyền môn.
后人休把留侯比，临没无颜见汉君。	Hậu nhân hưu bả lưu hầu bỉ, lâm một vô nhan kiến hán quân.
”其子荀恽，发哀书报曹操。	" Kì tử tuân uẩn, phát ai thư báo tào thao.
操甚懊悔，命厚葬之，谥曰敬侯。	Thao thậm áo hối, mệnh hậu táng chi, thụy viết kính hầu.

Paragraph 284
且说曹操大军至濡须，先差曹洪领三万铁甲马军，哨至江边。	Thả thuyết tào thao đại quân chí nhu tu, tiên sai tào hồng lĩnh tam vạn thiết giáp mã quân, tiếu chí giang biên.
回报云：“遥望沿江一带，旗幡无数，不知兵聚何处。	Hồi báo Lại nói, đại quân của Tào Tháo vân: "Diêu vọng duyên giang nhất đái, kì phiên vô số, bất tri binh tụ hà xứ.
”操放心不下，自领兵前进，就濡须口排开军阵。	" Thao phóng tâm bất hạ, tự lĩnh binh tiền tiến, tựu nhu tu khẩu bài khai quân trận.
操领百余人上山坡，遥望战船，各分队伍，依次摆列。	Thao lĩnh bách dư nhân thượng sơn pha, diêu vọng chiến thuyền, các phân đội ngũ, y thứ bãi liệt.
旗分五色，兵器鲜明。	Kì phân ngũ sắc, binh khí tiên minh.
当中大船上青罗伞下，坐着孙权。	Đương trung đại thuyền thượng thanh la tán hạ, tọa trứ tôn quyền.
左右文武，侍立两边。	Tả hữu văn võ, thị lập lưỡng biên.
操以鞭指曰：“生子当如孙仲谋！	Thao dĩ tiên chỉ viết: "Sinh tử đương như tôn trọng mưu!
若刘景升儿子，豚犬耳！	Nhược lưu cảnh thăng nhi tử, đồn khuyển nhĩ!
”忽一声响动，南船一齐飞奔过来。	" Hốt nhất thanh hưởng động, nam thuyền nhất tề phi bôn quá lai.
濡须坞内又一军出，冲动曹兵。	Nhu tu ổ nội hựu nhất quân xuất, trùng động tào binh.
曹操军马退后便走，止喝不住。	Tào thao quân mã thối hậu tiện tẩu, chỉ hát bất trụ.
忽有千百骑赶到山边，为首马上一人碧眼紫髯，众人认得正是孙权。	Hốt hữu thiên bách kỵ cản đáo sơn biên, vi thủ mã thượng nhất nhân bích nhãn tử nhiêm, chúng nhân nhận đắc chánh thị tôn quyền.
权自引一队马军来击曹操。	Quyền tự dẫn nhất đội mã quân lai kích tào thao.
操大惊，急回马时，东吴大将韩当、周泰，两骑马直冲将上来。	Thao đại kinh, cấp hồi mã thời, đông ngô đại tướng hàn đương, chu thái, lưỡng kỵ mã trực trùng tương thượng lai.
操背后许褚纵马舞刀，敌住二将，曹操得脱归寨。	Thao bối hậu hứa trử túng mã vũ đao, địch trụ nhị tương, tào thao đắc thoát quy trại.
许褚与二将战三十合方回。	Hứa trử dữ nhị tương chiến tam thập hợp phương hồi.
操回寨，重赏许褚，责骂众将：“临敌先退，挫吾锐气！后若如此，尽皆斩首。”	Thao hồi trại, trọng thưởng hứa trử, trách mạ chúng tướng: "Lâm địch tiên nhược như thử, tẫn giai trảm

Paragraph 285
是夜二更时分，忽寨外喊声大震。	Thị dạ nhị canh thời phân, hốt trại ngoại hảm thanh đại chấn.
操急上马，见四下里火起，却被吴兵劫入大寨。	Thao cấp thượng mã, kiến tứ hạ lí hỏa khởi, khước bị ngô binh kiếp nhập đại trại.
杀至天明，曹兵退五十余里下寨。	Sát chí thiên minh, tào binh thối ngũ thập dư lí hạ trại.
操心中郁闷，闲看兵书。	Thao tâm trung úc muộn, nhàn khán binh thư.
程昱曰：“丞相既知兵法，岂不知兵贵神速乎？	Trình dục viết: "Thừa tương kí tri binh pháp, khởi bất tri binh quý thần tốc hồ?
丞相起兵，迁延日久，故孙权得以准备，夹濡须水口为坞，难于攻击。	Thừa tương khởi binh, thiên duyên nhật cửu, cố tôn quyền đắc dĩ chuẩn bị, giáp nhu tu thủy khẩu vi ổ, nan vu công kích.
不若且退兵还许都，别作良图。	Bất nhược thả thối binh hoàn hứa đô, biệt tác lương đồ.
”操不应。	" Thao bất ứng.
程昱出。	Trình dục xuất.
操伏几而卧，忽闻潮声汹涌，如万马争奔之状。	Thao phục kỉ nhi ngọa, hốt văn triều thanh hung dũng, như vạn mã tranh bôn chi trạng.
操急视之，见大江中推出一轮红日，光华射目；仰望天上，又有两轮太阳对照。	Thao cấp thị chi, kiến đại giang trung thôi xuất nhất luân hồng nhật, quang hoa xạ mục; ngưỡng vọng thiên thượng, hựu hữu lưỡng luân thái dương đối chiếu.
忽见江心那轮红日，直飞起来，坠于寨前山中，其声如雷。	Hốt kiến giang tâm na luân hồng nhật, trực phi khởi lai, trụy vu trại tiền sơn trung, kì thanh như lôi.
猛然惊觉，原来在帐中做了一梦。	Mãnh nhiên kinh giác, nguyên lai tại trướng trung tố liễu nhất mộng.
帐前军报道午时。	Trướng tiền quân báo đạo ngọ thời.
曹操教备马，引五十余骑，径奔出寨，至梦中所见落日山边。正看之间，忽见一簇人马，当先一人，金盔金甲。	Tào thao giáo bị mã, dẫn ngũ thập dư kỵ, kính bôn xuất trại, chí mộng trung sở khán chi gian, hốt kiến nhất thốc nhân mã, đương tiên nhất nhân, kim khôi kim giáp.
操视之，乃孙权也。	Thao thị chi, nãi tôn quyền dã.
权见操至，也不慌忙，在山上勒住马，以鞭指操曰：“丞相坐镇中原，富贵已极，何故贪心不足，又来侵我江南？	Quyền kiến thao chí, dã bất hoảng mang, tại sơn thượng lặc trụ mã, dĩ tiên chỉ thao viết: "Thừa tương tọa trấn trung nguyên, phú quý dĩ cực, hà cố tham tâm bất túc, hựu lai xâm ngã giang nam?
”	Tháo vừa đến

Paragraph 286
操答曰：“汝为臣下，不尊王室。	Thao đáp viết: "Nhữ vi thần hạ, bất tôn vương thất.
吾奉天子诏，特来讨汝！	Ngô phụng thiên tử chiếu, đặc lai thảo nhữ!
”孙权笑曰：“此言岂不羞乎？	" Tôn quyền tiếu viết: "Thử ngôn khởi bất tu hồ?
天下岂不知你挟天子令诸侯？	Thiên hạ khởi bất tri nhĩ hiệp thiên tử lệnh chư hầu?
吾非不尊汉朝，正欲讨汝以正国家耳。	Ngô phi bất tôn hán triều, chánh dục thảo nhữ dĩ chánh quốc gia nhĩ.
”操大怒，叱诸将上山捉孙权。	" Thao đại nộ, sất chư tướng thượng sơn tróc tôn quyền.
忽一声鼓响，山背后两彪军出，右边韩当、周泰，左边陈武、潘璋。	Hốt nhất thanh cổ hưởng, sơn bối hậu lưỡng bưu quân xuất, hữu biên hàn đương, chu thái, tả biên trần võ, phan chương.
四员将带三千弓弩手乱射，矢如雨发。	Tứ viên tương đái tam thiên cung nỗ thủ loạn xạ, thỉ như vũ phát.
操急引众将回走。	Thao cấp dẫn chúng tướng hồi tẩu.
背后四将赶来甚急。	Bối hậu tứ tương cản lai thậm cấp.
赶到半路，许褚引众虎卫军敌住，救回曹操。	Cản đáo bán lộ, hứa trử dẫn chúng hổ vệ quân địch trụ, cứu hồi tào thao.
吴兵齐奏凯歌，回濡须去了。	Ngô binh tề tấu khải ca, hồi nhu tu khứ liễu.
操还营自思：“孙权.非等闲人物。	Thao hoàn doanh tự tư: "Tôn quyền phi đẳng nhàn nhân vật.
红日之应，久后必为帝王。	Hồng nhật chi ứng, cửu hậu tất vi đế vương.
”于是心中有退兵之意，又恐东吴耻笑，进退未决。	" Vu thị tâm trung hữu thối binh chi ý, hựu khủng đông ngô sỉ tiếu, tiến thối vị quyết.
两边又相拒了月余，战了数场，互相胜负。	Lưỡng biên hựu tương cự liễu nguyệt dư, chiến liễu sổ trường, hỗ tương thắng phụ.
直至来年正月，春雨连绵，水港皆满，军士多在泥水之中，困苦异常。	Trực chí lai niên chánh nguyệt, xuân vũ liên miên, thủy cảng giai mãn, quân sĩ đa tại nê thủy chi trung, khốn khổ dị thường.
操心甚忧。	Thao tâm thậm ưu.
当日正在寨中，与众谋士商议。	Đương nhật chánh tại trại trung, dữ chúng mưu sĩ thương nghị.
或劝操收兵，或云目今春暖，正好相持，不可退归。	Hoặc khuyến thao thu binh, hoặc vân mục kim xuân noãn, chánh hảo tương trì, bất khả thối quy.
操犹豫未定。	Thao do dự vị định.

Paragraph 287
忽报东吴有使赍书到。	Hốt báo đông ngô hữu sử tê thư đáo.
操启视之。	Thao khải thị chi.
书略曰：“孤与丞相，彼此皆汉朝臣宰。	Thư lược viết: "Cô dữ thừa tương, bỉ thử giai hán triều thần tể.
丞相不思报国安民，乃妄动干戈，残虐生灵，岂仁人之所为哉？	Thừa tương bất tư báo quốc an dân, nãi vọng động can qua, tàn ngược sinh linh, khởi nhân nhân chi sở vi tai?
即日春水方生，公当速去。	Tức nhật xuân thủy phương sinh, công đương tốc khứ.
如其不然，复有赤壁之祸矣。	Như kì bất nhiên, phục hữu xích bích chi họa hĩ.
公宜自思焉。	Công nghi tự tư yên.
”书背后又批两行云：“足下不死，孤不得安。	" thư bối hậu hựu phê lưỡng hành vân: "Túc hạ bất tử, cô bất đắc an.
”曹操看毕，大笑曰：“孙仲谋不欺我也。	" tào thao khán tất, đại tiếu viết: "Tôn trọng mưu bất khi ngã dã.
”重赏来使，遂下令班师，命庐江太守朱光镇守皖城，自引大军回许昌。	" trọng thưởng mệnh lư giang thái thủ chu quang trấn thủ hoàn thành, tự dẫn đại quân hồi hứa xương.
孙权亦收军回秣陵。	Tôn quyền diệc thu quân hồi mạt lăng.
权与众将商议：“曹操虽然北去，刘备尚在葭萌关未还。	Quyền dữ chúng tướng thương nghị: "Tào thao tuy nhiên bắc khứ, lưu bị thượng tại gia manh quan vị hoàn.
何不引拒曹操之兵，以取荆州？	Hà bất dẫn cự tào thao chi binh, dĩ thủ kinh châu?
”张昭献计曰：“且未可动兵。	" Trương chiêu hiến kế viết: "Thả vị khả động binh.
某有一计，使刘备不能再还荆州。	Mỗ hữu nhất kế, sử lưu bị bất năng tái hoàn kinh châu.
”正是：孟德雄兵方退北，仲谋壮志又图南。	" chánh thị: mạnh đức hùng binh phương thối bắc, trọng mưu tráng chí hựu đồ nam.
不知张昭说出甚计来，且看下文分解。	Bất tri trương chiêu thuyết xuất thậm kế lai, thả khán hạ văn phân giải Hoãn Thành, còn mình thu đại quân về Hứa Xương.
第六十二回取涪关杨高授首攻雒城黄魏争功	Tôn Quyền Đệ lục thập nhị hồi thủ phù quan dương cao thụ thủ công lạc thành hoàng ngụy

Paragraph 288
却说张昭献计曰：“且休要动兵。	Khước thuyết trương chiêu hiến kế viết: "Thả hưu yếu động binh.
若一兴师，曹操必复至。	Nhược nhất hưng sư, tào thao tất phục chí.
不如修书二封：一封与刘璋，言刘备结连东吴，共取西川，使刘璋心疑而攻刘备；一封与张鲁，教进兵向荆州来。	Bất như tu thư nhị phong: nhất phong dữ lưu chương, ngôn lưu bị kết liên đông ngô, cộng thủ tây xuyên, sử lưu chương tâm nghi nhi công lưu bị; nhất phong dữ trương lỗ, giáo tiến binh hướng kinh châu lai.
着刘备首尾不能救应。	Trứ lưu bị thủ vĩ bất năng cứu ứng.
我然后起兵取之，事可谐矣。	Ngã nhiên hậu khởi binh thủ chi, sự khả hài hĩ.
”权从之，即发使二处去讫。	"Quyền tòng chi, tức phát sử nhị xử khứ cật.
且说玄德在葭萌关日久，甚得民心。	Thả thuyết huyền đức tại gia manh quan nhật cửu, thậm đắc dân tâm.
忽接得孔明文书。	Hốt tiếp đắc khổng minh văn thư.
知孙夫人已回东吴。	Tri tôn phu nhân dĩ hồi đông ngô.
又闻曹操兴兵犯濡须，乃与庞统议曰：“曹操击孙权，操胜必将取荆州，权胜亦必取荆州矣。	Hựu văn tào thao hưng binh phạm nhu tu, nãi dữ bàng thống nghị viết: "Tào thao kích tôn quyền, thao thắng tất tương thủ kinh châu, quyền thắng diệc tất thủ kinh châu hĩ.
